Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
196.200.160.70-172.17.0.2-443-58308-6,196.200.160.70,443,172.17.0.2,58308,6,08/08/2022 06:13:06 PM,8499072,382,262,717508.0,0.0,35040.0,410.0,1878.2931937172787,2323.63160372343,0.0,0.0,0.0,0.0,84421.92276992124,75.77297850871248,13217.84136858475,45633.07783919027,521850.0,-351.0,8491580.0,22287.61154855642,59364.7089571722,522294.0,0.0,8476224.0,32475.95402298849,69241.01649654486,522033.0,272.0,1,0,0,0,7640,5240,44.9460835253543,30.826894983358184,0.0,35040.0,1114.613953488373,2011.4175978425237,4045800.752910589,1,0,0,336,644,0,0,0,0.0,1116.3447204968943,1878.2931937172775,0.0,0,0,0,717508,382,84496,0,1114,0,0,32061,65535,381,20,0,0,0,0,1.659982386080393E15,0.0,1.659982386080393E15,1.659982386080393E15,NeedManualLabel
172.17.0.2-20.201.28.151-36416-443-6,172.17.0.2,36416,20.201.28.151,443,6,08/08/2022 06:13:21 PM,693355,168,169,613.0,311019.0,390.0,0.0,3.6488095238095246,32.761182646458906,7300.0,0.0,1840.3491124260354,1123.57297960136,449455.18529469025,486.04250347945856,2063.5565476190504,7206.351761482758,66975.0,-3607.0,693355.0,4151.826347305389,10044.271991095662,70510.0,2.0,634766.0,3778.369047619048,9178.325930850815,67070.0,0.0,0,0,0,0,3380,3384,242.3001204289289,243.74238305052964,0.0,7300.0,921.9881656804733,1214.8071734650991,1475756.4687022637,1,2,0,156,336,0,0,0,1.0,924.7240356083086,3.6488095238095237,1840.3491124260354,0,0,0,311632,170,491477,0,1,0,922,64240,32155,3,20,0,0,0,0,1.659982401151849E15,0.0,1.659982401151849E15,1.659982401151849E15,NeedManualLabel
172.17.0.2-20.201.28.151-36418-443-6,172.17.0.2,36418,20.201.28.151,443,6,08/08/2022 06:13:21 PM,770619,162,171,613.0,311447.0,390.0,0.0,3.7839506172839514,33.358344079096774,7300.0,0.0,1821.3274853801167,1076.3542158624252,404947.1918029532,432.12015276031343,2321.14156626506,8318.317412497836,80408.0,-5467.0,770619.0,4786.453416149069,12077.737186115573,80556.0,3.0,697447.0,4102.629411764708,10045.295112801407,81062.0,0.0,0,0,0,0,3260,3424,210.22061485636868,221.89953790394475,0.0,7300.0,934.3113772455092,1191.5855861243706,1419876.20905936,1,2,0,148,332,0,0,0,1.0,937.1171171171171,3.7839506172839505,1821.327485380117,0,0,0,312060,172,447851,0,1,0,935,64240,32155,3,20,0,0,0,0,1.659982401926378E15,0.0,1.659982401926378E15,1.659982401926378E15,NeedManualLabel
20.201.28.151-172.17.0.2-443-36418-6,20.201.28.151,443,172.17.0.2,36418,6,08/08/2022 06:13:22 PM,68755,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,349.06552250745403,58.17758708457567,22918.333333333336,39694.94817144032,68754.0,-87.0,68755.0,34377.5,48615.7125269187,68754.0,1.0,0,0,0,0,0,0,0,0,0,60,20,43.633190313431754,14.544396771143917,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,32154,0,1,20,0,0,0,0,1.65998240269741E15,0.0,1.65998240269741E15,1.65998240269741E15,NeedManualLabel
172.17.0.2-20.201.28.151-36420-443-6,172.17.0.2,36420,20.201.28.151,443,6,08/08/2022 06:13:22 PM,1053449,167,171,613.0,311278.0,390.0,0.0,3.6706586826347314,32.85848501552273,5840.0,0.0,1820.3391812865489,964.491119489155,296066.5395287289,320.8508432776527,3125.961424332346,13076.500485751707,183745.0,-512.0,1053449.0,6346.07831325301,18560.840577226663,183831.0,-4.0,981730.0,5774.882352941177,17354.118527535018,183985.0,1.0,0,0,0,0,3360,3424,158.5268959389586,162.32394733869413,0.0,5840.0,920.0324483775809,1138.3634399563236,1295871.3214291946,1,2,0,155,337,0,0,0,1.0,922.7544378698225,3.6706586826347305,1820.3391812865498,0,0,0,311891,172,317918,0,1,0,920,64240,32155,3,20,0,0,0,0,1.659982402786496E15,0.0,1.659982402786496E15,1.659982402786496E15,NeedManualLabel
20.201.28.151-172.17.0.2-443-36420-6,20.201.28.151,443,172.17.0.2,36420,6,08/08/2022 06:13:23 PM,68198,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,351.91647848910526,58.65274641485088,22732.666666666664,39372.499950261394,68196.0,-87.0,68198.0,34099.0,48220.43983623542,68196.0,2.0,0,0,0,0,0,0,0,0,0,60,20,43.98955981113816,14.66318660371272,0.0,24.0,4.8,10.73312629199899,115.2,1,0,1,1,3,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,0,6,0,0,32154,0,1,20,0,0,0,0,1.659982403840435E15,0.0,1.659982403840435E15,1.659982403840435E15,NeedManualLabel
172.17.0.2-20.201.28.151-36422-443-6,172.17.0.2,36422,20.201.28.151,443,6,08/08/2022 06:13:23 PM,1268835,175,179,613.0,311336.0,390.0,0.0,3.502857142857144,32.10343811675405,7300.0,0.0,1739.3072625698323,1026.3912457386714,245854.66195368193,278.9960869616617,3594.4334277620437,12968.080761996935,166190.0,-412.0,1268835.0,7292.155172413794,18150.54101978898,166339.0,3.0,1212375.0,6811.09550561798,18637.75380936834,167906.0,0.0,0,0,0,0,3520,3584,137.92179440195142,141.0742925597103,0.0,7300.0,878.7295774647889,1133.828684584717,1285567.4859871096,1,2,0,156,353,0,0,0,1.0,881.2118644067797,3.5028571428571427,1739.3072625698323,0,0,0,311949,180,257474,0,1,0,879,64240,32155,3,20,0,0,0,0,1.659982403913369E15,0.0,1.659982403913369E15,1.659982403913369E15,NeedManualLabel
20.201.28.151-172.17.0.2-443-36422-6,20.201.28.151,443,172.17.0.2,36422,6,08/08/2022 06:13:25 PM,75679,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,317.12892612217394,26.42741051018116,75679.0,0.0,75679.0,75679.0,75679.0,75679.0,0.0,75679.0,75679.0,0,0,0,0,0,0,0,0,0,40,0,26.42741051018116,0.0,0.0,24.0,8.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,12.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,32154,0,1,20,0,0,0,0,1.659982405183051E15,0.0,1.659982405183051E15,1.659982405183051E15,NeedManualLabel
172.17.0.2-20.201.28.151-36424-443-6,172.17.0.2,36424,20.201.28.151,443,6,08/08/2022 06:13:25 PM,779281,166,169,613.0,311364.0,390.0,0.0,3.6927710843373505,32.95665944800115,5840.0,0.0,1842.3905325443786,1025.9439910477456,400339.5437589265,429.8834438411818,2333.1766467065845,9042.971949719677,108503.0,-485.0,779281.0,4722.9151515151525,12543.066543793238,108639.0,2.0,715417.0,4258.434523809523,11605.37118609072,109217.0,0.0,0,0,0,0,3340,3384,213.016870679511,216.86657316167083,0.0,5840.0,928.5029761904758,1173.0738420053037,1376102.2387970844,1,2,0,147,334,0,0,0,1.0,931.2746268656716,3.6927710843373496,1842.3905325443786,0,0,0,311977,170,436512,0,1,0,929,64240,32155,3,20,0,0,0,0,1.659982405265295E15,0.0,1.659982405265295E15,1.659982405265295E15,NeedManualLabel
20.201.28.151-172.17.0.2-443-36424-6,20.201.28.151,443,172.17.0.2,36424,6,08/08/2022 06:13:26 PM,63876,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31.310664412298827,63876.0,0.0,63876.0,63876.0,63876.0,63876.0,0.0,63876.0,63876.0,0,0,0,0,0,0,0,0,0,40,0,31.310664412298827,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,32154,0,0,20,0,0,0,0,1.659982406044975E15,0.0,1.659982406044975E15,1.659982406044975E15,NeedManualLabel
