Flow ID;Src IP;Src Port;Dst IP;Dst Port;Protocol;Timestamp;Flow Duration;Total Fwd Packet;Total Bwd packets;Total Length of Fwd Packet;Total Length of Bwd Packet;Fwd Packet Length Max;Fwd Packet Length Min;Fwd Packet Length Mean;Fwd Packet Length Std;Bwd Packet Length Max;Bwd Packet Length Min;Bwd Packet Length Mean;Bwd Packet Length Std;Flow Bytes/s;Flow Packets/s;Flow IAT Mean;Flow IAT Std;Flow IAT Max;Flow IAT Min;Fwd IAT Total;Fwd IAT Mean;Fwd IAT Std;Fwd IAT Max;Fwd IAT Min;Bwd IAT Total;Bwd IAT Mean;Bwd IAT Std;Bwd IAT Max;Bwd IAT Min;Fwd PSH Flags;Bwd PSH Flags;Fwd URG Flags;Bwd URG Flags;Fwd Header Length;Bwd Header Length;Fwd Packets/s;Bwd Packets/s;Packet Length Min;Packet Length Max;Packet Length Mean;Packet Length Std;Packet Length Variance;FIN Flag Count;SYN Flag Count;RST Flag Count;PSH Flag Count;ACK Flag Count;URG Flag Count;CWR Flag Count;ECE Flag Count;Down/Up Ratio;Average Packet Size;Fwd Segment Size Avg;Bwd Segment Size Avg;Fwd Bytes/Bulk Avg;Fwd Packet/Bulk Avg;Fwd Bulk Rate Avg;Bwd Bytes/Bulk Avg;Bwd Packet/Bulk Avg;Bwd Bulk Rate Avg;Subflow Fwd Packets;Subflow Fwd Bytes;Subflow Bwd Packets;Subflow Bwd Bytes;FWD Init Win Bytes;Bwd Init Win Bytes;Fwd Act Data Pkts;Fwd Seg Size Min;Active Mean;Active Std;Active Max;Active Min;Idle Mean;Idle Std;Idle Max;Idle Min;Label
172,17,0,2-142,251,132,78-56772-80-6;172,17,0,2;56772;142,251,132,78;80;6;08/08/2022 18:11;481669;5;3;137;528;137;0;27,4;61,26826258;528;0;176;304,8409421;1380,616149;16,60891608;68809,85714;108805,1992;291256;77;481669;120417,25;124212,02;291256;439;122013;61006,5;85806,70079;121681;332;0;0;0;0;120;64;10,38057255;6,228343531;0;528;73,88888889;176,2160921;31052,11111;1;2;0;2;7;0;0;0;0;83,125;27,4;176;0;0;0;0;0;0;0;17;0;66;64240;32631;1;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-142,250,79,228-33482-80-6;172,17,0,2;33482;142,250,79,228;80;6;08/08/2022 18:11;299525;15;13;141;15429;141;0;9,4;36,40604345;1460;0;1186,846154;536,3617943;51982,30532;93,48134546;11093,51852;29418,50885;136344;-332;299525;21394,64286;47897,71041;174410;1;232145;19345,41667;39979,30614;136935;0;0;0;0;0;320;264;50,07929221;43,40205325;0;1460;536,8965517;692,4196366;479444,9532;1;2;0;12;27;0;0;0;0;556,0714286;9,4;1186,846154;0;0;0;15570;12;67241;0;5;0;551;64240;32627;1;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-142,251,129,78-32914-80-6;172,17,0,2;32914;142,251,129,78;80;6;08/08/2022 18:11;1140985;5;3;142;377;142;0;28,4;63,50433056;377;0;125,6666667;217,6610515;454,8701341;7,01148569;162997,8571;358110,0319;972601;83;1140985;285246,25;460841,0923;972601;403;119997;59998,5;4531,847361;63203;56794;0;0;0;0;120;64;4,382178556;2,629307134;0;377;57,66666667;128,6293124;16545,5;1;2;0;2;7;0;0;0;0;64,875;28,4;125,6666667;0;0;0;0;0;0;0;17;0;47;64240;32626;1;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-142,251,129,78-32894-443-6;172,17,0,2;32894;142,251,129,78;443;6;08/08/2022 18:11;1481688;282;290;639;672667;395;0;2,265957447;25,85705664;23360;0;2319,541379;2326,659967;454418,2041;386,0461852;2594,900175;19540,69088;270125;-724;1481688;5272,911032;35379,48618;522378;1;1406776;4867,737024;27541,81402;270125;0;0;0;0;0;5660;5804;190,3234689;195,7227163;0;23360;1175,054101;2019,898587;4079990,303;1;2;0;220;571;0;0;0;1;1177,108392;2,265957447;2319,541379;0;0;0;673306;290;480180;0;1;0;1175;64240;32129;3;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-8,8,8,8-47711-53-17;172,17,0,2;47711;8,8,8,8;53;17;08/08/2022 18:11;362259;1;1;47;108;47;47;47;0;108;108;108;0;427,8706671;5,520911834;362259;0;362259;362259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;2,760455917;2,760455917;47;108;67,33333333;35,21836642;1240,333333;0;0;0;0;0;0;0;0;1;101;47;108;0;0;0;0;0;0;0;23;0;54;0;0;0;8;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-8,8,8,8-50359-53-17;172,17,0,2;50359;8,8,8,8;53;17;08/08/2022 18:11;419897;2;2;56;100;28;28;28;0;56;44;50;8,485281374;371,5196822;9,526145698;139965,6667;193020,4427;360236;375;375;375;0;375;375;360236;360236;0;360236;360236;0;0;0;0;16;16;4,763072849;4,763072849;28;56;36,8;12,77497554;163,2;0;0;0;0;0;0;0;0;1;46;28;50;0;0;0;156;4;371;0;14;0;25;0;0;1;8;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-91,189,91,38-39518-80-6;172,17,0,2;39518;91,189,91,38;80;6;08/08/2022 18:11;13054549;1017;1330;3181;2070419;1460;0;3,127826942;48,51997907;11680;0;1556,706015;997,3634717;158841,1825;179,7840737;5564,598892;29872,27798;751208;-490;1,31E+07;12848,96555;45278,53272;751307;3;1,28E+07;9652,902182;38796,41979;751279;0;0;0;0;0;20360;26604;77,90387856;101,8801952;0;11680;883,1345826;1075,775994;1157293,989;1;2;0;1074;2346;0;0;0;1;883,5108649;3,127826942;1556,706015;0;0;0;2073600;1339;161658;0;1;0;882;64240;31365;12;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
91,189,91,38-172,17,0,2-80-39518-6;91,189,91,38;80;172,17,0,2;39518;6;08/08/2022 18:12;166967;2;0;0;0;0;0;0;0;0;0;0;0;0;11,9784149;166967;0;166967;166967;166967;166967;0;166967;166967;0;0;0;0;0;0;0;0;0;40;0;11,9784149;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;31364;0;0;20;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-8,8,8,8-33190-53-17;172,17,0,2;33190;8,8,8,8;53;17;08/08/2022 18:11;68352;1;1;36;100;36;36;36;0;100;100;100;0;1989,700375;29,26029963;68352;0;68352;68352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;14,63014981;14,63014981;36;100;57,33333333;36,95041723;1365,333333;0;0;0;0;0;0;0;0;1;86;36;100;0;0;0;0;0;0;0;18;0;50;0;0;0;8;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
172,17,0,2-8,8,8,8-43586-53-17;172,17,0,2;43586;8,8,8,8;53;17;08/08/2022 18:11;67102;2;2;44;194;22;22;22;0;97;97;97;0;3546,83914;59,61074186;22367,33333;33022,26879;60307;95;95;95;0;95;95;6700;6700;0;6700;6700;0;0;0;0;16;16;29,80537093;29,80537093;22;97;52;41,07919181;1687,5;0;0;0;0;0;0;0;0;1;65;22;97;0;0;0;238;4;3546;0;11;0;48;0;0;1;8;0;0;0;0;1,66E+15;0;1,66E+15;1,66E+15;NeedManualLabel
